Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618200,0,7200,50140,0.0,7.03,48.96
1760618201,1,1722672,8143480,1037,1682.30,7952.62
1760618202,2,11010716,20294608,4075,10752.65,19818.95
1760618202,2,23542980,36174032,3871,22991.19,35326.20
1760618203,3,37103084,54048080,5844,36233.48,52781.33
1760618203,3,51459256,71841872,5265,50253.18,70158.08
1760618204,4,65252596,91682640,6623,63723.24,89533.83
1760618205,5,65473504,91686224,5064,63938.97,89537.33
1760618205,5,65593352,91689808,4092,64056.01,89540.83
1760618206,6,65676260,91693392,4126,64136.97,89544.33
1760618207,7,65807004,92100952,3474,64264.65,89942.34
1760618208,8,65898484,92093776,3002,64353.99,89935.33
1760618210,10,66026588,92483404,2649,64479.09,90315.82
1760618211,11,66064148,92494160,2151,64515.77,90326.33
1760618212,12,66013872,92497744,1987,64466.67,90329.83
1760618213,13,65991428,92501328,1834,64444.75,90333.33
1760618213,13,65974868,92497740,1706,64428.58,90329.82
1760618215,15,65955884,92956492,1596,64410.04,90777.82
1760618219,19,65849892,92963664,1439,64306.54,90784.83
1760618222,22,65757348,93426000,1171,64216.16,91236.33
1760618224,24,65741188,94274380,1047,64200.38,92064.82
1760618225,25,65744916,94667596,1010,64204.02,92448.82
1760618226,26,65725468,94674768,943,64185.03,92455.83
1760618228,28,65734784,95067980,924,64194.12,92839.82
1760618230,30,65751436,95464780,872,64210.39,93227.32
1760618233,33,65786608,96709964,813,64244.73,94443.32
1760618234,34,65769784,97175888,772,64228.30,94898.33
1760618235,35,65764172,97565516,778,64222.82,95278.82
1760618236,36,65758620,98483020,762,64217.40,96174.82
1760618237,37,65758264,98876236,747,64217.05,96558.82
1760618239,39,65749936,100776780,718,64208.92,98414.82
1760618240,40,65746436,102153036,692,64205.50,99758.82
1760618241,41,65755556,103054156,697,64214.41,100638.82
1760618242,42,65758844,103578444,685,64217.62,101150.82
1760618243,43,65753952,103578444,673,64212.84,101150.82
1760618245,45,65747776,104037196,649,64206.81,101598.82
1760618247,47,65746252,104961872,629,64205.32,102501.83
1760618248,48,65744828,105427024,614,64203.93,102956.08
1760618253,53,65739860,106930764,598,64199.08,104424.57
1760618254,54,65696404,107455052,569,64156.64,104936.57
1760618255,55,65683352,107455052,561,64143.90,104936.57
1760618256,56,65673380,107455052,564,64134.16,104936.57
1760618260,60,65649388,107455052,551,64110.73,104936.57
1760618262,62,65597016,107455052,525,64059.59,104936.57
1760618263,63,65568044,107979340,521,64031.29,105448.57
1760618263,63,65563204,108503628,515,64026.57,105960.57
1760618265,65,65565636,108962380,509,64028.94,106408.57
1760618266,66,65565252,110404172,507,64028.57,107816.57
1760618267,67,65576872,110411344,502,64039.91,107823.58
1760618268,68,65587072,110414928,498,64049.88,107827.08
1760618268,68,65616356,110425684,494,64078.47,107837.58
1760618269,69,65635972,111339596,490,64097.63,108730.07
1760618271,71,65699816,112326220,484,64159.98,109693.57
1760618274,74,65721740,112784972,481,64181.39,110141.57
1760618276,76,65759844,113320016,470,64218.60,110664.08
1760618277,77,65776744,114310224,468,64235.10,111631.08
1760618278,78,65778136,114317392,466,64236.46,111638.08
1760618279,79,65774708,114852436,463,64233.11,112160.58
1760618280,80,65775896,114856016,461,64234.27,112164.08
1760618280,80,65767320,115842640,459,64225.90,113127.58
1760618281,81,65775404,115846224,455,64233.79,113131.08
1760618282,82,65766024,115842636,457,64224.63,113127.57
1760618283,83,65760924,116825676,455,64219.65,114087.57
1760618284,84,65762812,117357136,452,64221.50,114606.58
1760618284,84,65768840,117353548,448,64227.38,114603.07
1760618285,85,65765384,117360720,445,64224.01,114610.08
1760618287,87,65748260,117367888,443,64207.29,114617.08
1760618287,87,65751472,118412876,441,64210.42,115637.57
1760618289,89,65754364,118965848,439,64213.25,116177.59
1760618290,90,65747364,119624788,438,64206.41,116821.08
1760618291,91,65754220,121190476,436,64213.11,118350.07
1760618292,92,65733196,121714764,430,64192.57,118862.07
1760618294,94,65731564,123425872,428,64190.98,120533.08
1760618295,95,65738384,123429456,428,64197.64,120536.58
1760618296,96,65734788,123429452,422,64194.13,120536.57
1760618297,97,65730088,123429452,424,64189.54,120536.57
1760618298,98,65718372,123953740,422,64178.10,121048.57
1760618301,101,65705952,123957324,416,64165.97,121052.07
1760618303,103,65699580,125140556,410,64159.75,122207.57
1760618304,104,65685424,125664844,410,64145.92,122719.57
1760618305,105,65696056,125672016,407,64156.30,122726.58
1760618306,106,65688096,126323788,402,64148.53,123363.07
1760618309,109,65690252,127036492,402,64150.64,124059.07
1760618311,111,65672580,127691852,394,64133.38,124699.07
1760618312,112,65657876,129264716,392,64119.02,126235.07
1760618313,113,65655500,129264716,391,64116.70,126235.07
1760618315,115,65629964,129789004,387,64091.76,126747.07
1760618317,117,65631624,130968652,386,64093.38,127899.07
1760618318,118,65613448,130968652,382,64075.63,127899.07
1760618319,119,65620908,131492940,380,64082.92,128411.07
1760618320,120,65622836,132148300,379,64084.80,129051.07
1760618321,121,65637444,132148300,377,64099.07,129051.07
1760618322,122,65653276,132803660,375,64114.53,129691.07
1760618322,122,65651300,132803660,373,64112.60,129691.07
1760618323,123,65663872,133990480,374,64124.88,130850.08
1760618324,124,65669060,135825488,373,64129.94,132642.08
1760618325,125,65687660,135825488,371,64148.11,132642.08
1760618326,126,65683564,135825488,369,64144.11,132642.08
1760618327,127,65681552,136480848,367,64142.14,133282.08
1760618329,129,65693468,136480848,366,64153.78,133282.08
