Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618533,0,23256,67768,0.0,22.71,66.18
1760618534,1,118108,4712104,0.0,115.34,4601.66
1760618534,1,145352,5598888,429,141.95,5467.66
1760618535,2,182416,5643944,651,178.14,5511.66
1760618536,3,211100,5669544,417,206.15,5536.66
1760618536,3,223468,5682856,333,218.23,5549.66
1760618537,4,236816,5699240,388,231.27,5565.66
1760618537,4,249656,5711528,332,243.80,5577.66
1760618538,5,265252,5733032,374,259.04,5598.66
1760618538,5,276992,5749416,332,270.50,5614.66
1760618539,6,293396,5749416,365,286.52,5614.66
1760618539,6,307188,5778088,331,299.99,5642.66
1760618540,7,321128,5778088,359,313.60,5642.66
1760618540,7,338548,5802664,331,330.61,5666.66
1760618541,8,345864,5812904,305,337.76,5676.66
1760618542,9,347540,5812904,319,339.39,5676.66
1760618542,9,350392,5812904,296,342.18,5676.66
1760618543,10,354860,5825192,308,346.54,5688.66
1760618543,10,360852,5825192,288,352.39,5688.66
1760618544,11,365464,5825192,299,356.90,5688.66
1760618544,11,370012,5839528,282,361.34,5702.66
1760618545,12,373712,5853864,292,364.95,5716.66
1760618545,12,377784,5853864,276,368.93,5716.66
1760618546,13,383600,5853864,286,374.61,5716.66
1760618546,13,389824,5870248,272,380.69,5732.66
1760618547,14,394496,5870248,260,385.25,5732.66
1760618548,15,399460,5870248,268,390.10,5732.66
1760618548,15,404548,5870248,258,395.07,5732.66
1760618549,16,411524,5890728,265,401.88,5752.66
1760618549,16,416272,5890728,255,406.52,5752.66
1760618550,17,422960,5890728,262,413.05,5752.66
1760618550,17,428420,5915304,253,418.38,5776.66
1760618551,18,434248,5915436,259,424.07,5776.79
1760618551,18,441988,5915436,251,431.63,5776.79
1760618552,19,450572,5915436,257,440.01,5776.79
1760618553,20,458684,5944108,249,447.93,5804.79
1760618553,20,468256,5960492,242,457.28,5820.79
1760618554,21,475616,5960492,247,464.47,5820.79
1760618554,21,477112,5960492,238,465.93,5820.79
1760618555,22,478372,5960492,240,467.16,5820.79
1760618555,22,479164,5960492,232,467.93,5820.79
1760618556,23,479956,5960492,234,468.71,5820.79
1760618556,23,480708,5960492,226,469.44,5820.79
1760618557,24,481764,5960492,229,470.47,5820.79
1760618557,24,482556,5960492,222,471.25,5820.79
1760618558,25,483412,5960492,215,472.08,5820.79
1760618559,26,484456,5960492,217,473.10,5820.79
1760618559,26,485360,5960492,211,473.98,5820.79
1760618560,27,486140,5960492,213,474.75,5820.79
1760618560,27,486916,5960492,207,475.50,5820.79
1760618561,28,487396,5960492,209,475.97,5820.79
1760618561,28,488212,5960492,203,476.77,5820.79
1760618562,29,489580,5980972,205,478.11,5840.79
1760618562,29,490860,5981108,200,479.36,5840.93
1760618563,30,492156,5981108,202,480.62,5840.93
