Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618132,69,65256612,113887840,225,63727.16,111218.59
1760618133,70,65256860,113887840,223,63727.40,111218.59
1760618133,70,65255908,113887840,222,63726.47,111218.59
1760618134,71,65254180,113887840,223,63724.79,111218.59
1760618134,71,65254000,113887840,221,63724.61,111218.59
1760618135,72,65253808,113887840,222,63724.42,111218.59
1760618135,72,65253272,113887840,220,63723.90,111218.59
1760618136,73,65252720,113887840,219,63723.36,111218.59
1760618137,74,65251344,113887840,220,63722.02,111218.59
1760618137,74,65251348,113887840,218,63722.02,111218.59
1760618138,75,65249644,113887840,219,63720.36,111218.59
1760618138,75,65249680,119130720,217,63720.39,116338.59
1760618139,76,65248328,119130720,218,63719.07,116338.59
1760618140,77,65247344,119130720,216,63718.11,116338.59
1760618140,77,65246004,119130720,214,63716.80,116338.59
1760618141,78,65246404,119130720,215,63717.19,116338.59
1760618141,78,65245668,119130720,213,63716.47,116338.59
1760618142,79,65244140,119130720,214,63714.98,116338.59
1760618142,79,65244024,119130720,213,63714.87,116338.59
1760618143,80,65243624,119130720,211,63714.48,116338.59
1760618144,81,65242736,119130720,213,63713.61,116338.59
1760618144,81,65242692,119130720,211,63713.57,116338.59
1760618145,82,65241916,119130720,213,63712.81,116338.59
1760618145,82,65240700,119130720,211,63711.62,116338.59
1760618146,83,65238396,119130720,212,63709.37,116338.59
1760618147,84,65240056,119130720,211,63710.99,116338.59
1760618147,84,65239308,119130720,209,63710.26,116338.59
1760618148,85,65239972,119130720,211,63710.91,116338.59
1760618148,85,65239000,125422176,209,63709.96,122482.59
1760618149,86,65237760,125422176,210,63708.75,122482.59
1760618150,87,65236620,125422176,209,63707.64,122482.59
1760618150,87,65236096,125422176,207,63707.12,122482.59
1760618151,88,65234768,125422176,208,63705.83,122482.59
1760618151,88,65235280,125422176,206,63706.33,122482.59
1760618152,89,65235040,125422176,208,63706.09,122482.59
1760618152,89,65232916,125422176,206,63704.02,122482.59
1760618153,90,65227128,125422176,205,63698.37,122482.59
1760618154,91,65228576,125422176,206,63699.78,122482.59
1760618154,91,65227284,125422176,205,63698.52,122482.59
1760618155,92,65224904,125422176,206,63696.20,122482.59
1760618155,92,65224908,125422176,204,63696.20,122482.59
1760618156,93,65224064,125422176,205,63695.38,122482.59
1760618157,94,65224140,125422176,204,63695.45,122482.59
1760618157,94,65223428,125422176,203,63694.75,122482.59
1760618158,95,65221932,125422176,203,63693.29,122482.59
1760618158,95,65221068,125422176,202,63692.45,122482.59
1760618159,96,65220240,125422176,203,63691.64,122482.59
1760618159,96,65219680,125422176,202,63691.09,122482.59
1760618160,97,65218360,125422176,201,63689.80,122482.59
1760618161,98,65216712,125422176,201,63688.20,122482.59
1760618161,98,65216084,131713632,200,63687.58,128626.59
1760618162,99,65215384,131713632,201,63686.90,128626.59
1760618162,99,65214400,131713632,200,63685.94,128626.59
1760618163,100,65214612,131713632,200,63686.14,128626.59
1760618164,101,65214880,131713632,199,63686.41,128626.59
1760618164,101,65213680,131713632,198,63685.23,128626.59
1760618165,102,65213724,131713632,199,63685.28,128626.59
1760618165,102,65212972,131713632,198,63684.54,128626.59
1760618166,103,65212052,131713632,198,63683.64,128626.59
1760618166,103,65210940,131713632,197,63682.56,128626.59
1760618167,104,65209144,131713632,196,63680.80,128626.59
1760618168,105,65209732,131713632,197,63681.38,128626.59
1760618168,105,65209328,131713632,195,63680.98,128626.59
1760618169,106,65209204,131713632,196,63680.86,128626.59
1760618169,106,65209112,131770976,195,63680.77,128682.59
1760618170,107,65208740,131930720,195,63680.41,128838.59
1760618171,108,65207556,131930720,196,63679.25,128838.59
1760618171,108,65208220,131930720,195,63679.90,128838.59
1760618172,109,65207940,139270752,196,63679.63,136006.59
1760618172,109,65206352,139270752,195,63678.08,136006.59
1760618173,110,65206952,139270752,196,63678.66,136006.59
1760618173,110,65207660,139270752,195,63679.36,136006.59
1760618174,111,65207784,139270752,196,63679.48,136006.59
1760618175,112,65207424,139270752,195,63679.12,136006.59
1760618175,112,65207424,139270752,194,63679.12,136006.59
1760618176,113,65207308,139270752,195,63679.01,136006.59
1760618176,113,65207336,139270752,195,63679.04,136006.59
1760618177,114,65206368,139270752,195,63678.09,136006.59
1760618177,114,65205160,139270752,195,63676.91,136006.59
1760618178,115,65205476,139270752,195,63677.22,136006.59
1760618179,116,65205144,139270752,195,63676.90,136006.59
1760618179,116,65203292,139270752,194,63675.09,136006.59
1760618180,117,65203384,139270752,195,63675.18,136006.59
1760618180,117,65203168,139270752,194,63674.97,136006.59
1760618181,118,65201776,139270752,195,63673.61,136006.59
1760618181,118,65199924,139270752,194,63671.80,136006.59
1760618182,119,65201524,139270752,195,63673.36,136006.59
1760618182,119,65200328,139270752,194,63672.20,136006.59
1760618183,120,65200088,139270752,193,63671.96,136006.59
1760618184,121,65200004,139270752,194,63671.88,136006.59
1760618184,121,65199944,139270752,193,63671.82,136006.59
1760618185,122,65199200,139270752,194,63671.09,136006.59
1760618185,122,65199336,147659360,194,63671.23,144198.59
1760618186,123,65199492,147659360,194,63671.38,144198.59
1760618186,123,65199268,147659360,194,63671.16,144198.59
1760618187,124,65195816,147659360,193,63667.79,144198.59
1760618188,125,65195100,147659360,194,63667.09,144198.59
1760618188,125,65196408,147659360,193,63668.37,144198.59
1760618189,126,65195184,147659360,194,63667.17,144198.59
1760618189,126,65194752,147659360,193,63666.75,144198.59
1760618190,127,65194308,147659360,194,63666.32,144198.59
1760618190,127,65194524,147659360,193,63666.53,144198.59
1760618191,128,65193396,147659360,194,63665.43,144198.59
1760618192,129,65194404,147659360,193,63666.41,144198.59
1760618192,129,65191628,147655772,192,63663.70,144195.09
1760618193,130,65160576,147598424,192,63633.38,144139.09
1760618193,130,61058008,147598424,191,59626.96,144139.09
1760618194,131,60523368,147438672,191,59104.85,143983.08
1760618194,131,56939752,147438672,190,55605.23,143983.08
1760618195,132,52068856,147438672,190,50848.49,143983.08
1760618195,132,50601400,147278920,189,49415.43,143827.07
1760618196,133,42867612,147278920,189,41862.90,143827.07
1760618197,134,33771832,147278920,188,32980.30,143827.07
1760618197,134,31103896,146959424,187,30374.90,143515.06
1760618198,135,26307104,146959424,188,25690.53,143515.06
1760618198,135,18958936,146959424,187,18514.59,143515.06
1760618199,136,11093252,146959424,187,10833.25,143515.06
1760618199,136,1624640,146959424,186,1586.56,143515.06
1760618200,137,76588,146389288,186,74.79,142958.29
